,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
FRA,48,10,"12,628","24,371",60,457,"1,757","102,096","9,494",414,67,"24,707",544,83,"9,046",322,66,12,961,"1,551","13,257",88,400,"23,776",,"226,760",43,"3,560","15,793",204,530,0,,"89,031",162,994,"122,769","142,364","14,931","1,015","3,718",340,15,436,"220,461",266,309,18,117,"113,258",243,341,"26,726",6,39,138,360,"19,654",28,42,"13,577",111,553,"88,407","17,890","63,578",49,517,0,"202,184","397,295",9,,6
TFQ,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,,0,,,0,,0,,
PYF,0,,0,3,,,,,0,0,0,0,,0,C,,,0,0,,0,,,,24,0,,0,0,,,,,0,0,,,0,,0,0,,0,,18,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
NCL,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
GAB,0,,0,0,,,,6,0,,0,162,,0,0,,,0,0,,0,,,,352,3,,0,0,,,,,0,0,,1,0,,0,0,,0,,3,,,,,0,,,0,,,,0,0,0,0,,,,1,,45,0,,,2,0,0,,
GMB,0,,0,0,,,,0,0,,0,0,,0,C,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
GEO,0,,0,4,,,,0,0,,0,0,,0,0,,,0,0,,7,,2,,2,-1,,0,0,,,,,16,0,,1,0,,0,0,,0,,162,,,,,0,,,14,,,,0,0,0,1,,,,0,7,1,0,,,22,30,0,,
DEU,78,5,"10,619","80,606",164,"1,517","1,610","59,371","16,827",111,115,"23,095","1,416",217,"10,519",536,99,44,770,"2,261","38,719",125,613,"26,411","287,359",,234,"8,825","9,746",706,943,,43,"113,107",252,616,"140,883","173,502","26,561","1,839","1,353",460,12,255,"304,036",116,"1,094",135,17,"194,841",216,443,"64,837",,54,218,"1,505","18,441",399,"1,083","16,915",497,128,"69,757","28,598","102,633",162,552,,"157,381","288,324",76,20,6
GHA,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,3,2,,,,0,,0,0,,,0,,14,0,,,0,2,0,0,,0,0,11,,,64,,0,,,0,,,,0,0,0,0,,,452,0,,0,0,,,57,3,0,,
GIB,0,,0,103,,,,31,0,0,0,2,50,0,4,,,0,0,56,2,,,2,15,74,,0,49,1,,,,65,2,,64,2,2,0,14,,0,0,145,,,,,42,,,4,,,,C,111,0,1,,,,84,0,164,0,,,462,135,0,,
GRC,0,,402,"9,194",,,,"17,330",185,1,72,811,10,0,232,1,1,0,"1,173",754,"1,784",4,9,"2,976","47,590","38,571",,,296,4,0,,,"12,411",31,17,"17,108","7,164",139,138,14,0,2,1,"21,870",0,161,1,,"19,593",5,C,"4,388",,,7,1,"2,700",0,0,858,8,1,"4,086","1,724","2,790",0,0,,"15,205","16,013",31,,
GRL,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,67,,,,,1,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
GRD,0,,0,0,,,4,1,0,,0,0,3,0,0,,,0,0,,0,,,,12,17,,0,3,,,,,1,1,,0,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,3,0,,,2,16,0,,
GLP,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,2,,,,,0,,,0,,,,0,0,0,0,,,,0,,,0,,,0,,0,,
GUM,0,,0,0,,,,,0,,0,0,,0,C,,,0,0,,0,,,,,0,,0,0,,,,,0,3,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,,0,,,0,,0,,
GTM,0,,0,3,154,,6,0,0,0,0,0,3,0,1,,,0,0,,11,,,,1,24,,0,0,,,,,21,0,,2,10,,0,0,,0,,43,,,,,4,,,0,,80,,0,0,0,0,,,,0,,2,0,,,137,206,0,,
GGY,0,,0,936,,25,2,596,544,11,0,672,66,0,485,18,20,0,2,36,915,,1,483,"6,461","6,215",,215,,5,5,,,323,739,20,"1,276","4,245",157,0,0,60,0,1,"4,219",10,,2,,"2,799",420,,304,,,,C,329,0,0,,6,"1,307",240,232,"11,913",31,,,"8,113","12,493",0,,
GUF,0,,0,0,,,,,3,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,0,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,,0,,,0,8,0,,
GIN,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
GNB,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,8,0,0,,,,0,,0,0,,,0,,0,,
GUY,0,,0,0,,,,,8,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,38,,0,,
HTI,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,19,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
