,ALB,ARG,ABW,AUS,AUT,BHS,BHR,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,SLV,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NAM,NLD,NZL,NOR,PAK,PLW,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,PSE
CAF,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,0,0,,0,,,0
TCD,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,8,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,0,,,0
CHL,,19,1,595,653,50,120,,0,468,"1,618",,43,45,"4,185",562,,524,146,159,99,9,13,14,2,869,,25,C,201,"3,755","6,068",1,48,215,0,3,0,0,0,"3,832",150,"1,193","4,111",43,136,"1,136",,31,4,5,"9,303",0,139,C,14,103,0,,"3,420",,"1,064",,,210,C,47,85,C,108,513,C,184,17,5,631,357,"4,220",136,0,,"3,319","36,796",189,10
HKG,,0,12,"12,493",432,153,"1,165",,0,818,"21,516",,25,1,"11,326","26,430",53,,"17,428","409,104",5,1,17,23,28,"3,228",11,0,4,433,"7,023","9,234",3,13,434,0,50,0,263,420,"19,721",903,770,"17,941",514,108,"12,478",1,9,1,0,"44,203",0,"8,147",C,"4,424",23,107,10,"14,642","1,055","9,602",,,1,"1,119",7,506,0,261,"3,476","42,837",5,44,250,552,"3,426","6,973","4,549",7,,"45,917","195,536",6,2
MAC,,0,,C,17,3,,,0,,4,,,0,,489,2,"5,464",,"4,410",1,0,0,0,0,7,,0,0,6,100,82,,,18,0,0,,0,1,282,,15,75,1,0,156,,,0,0,293,0,19,0,0,,0,,7,,0,,,,C,0,311,,,0,639,0,0,,C,0,114,252,0,,422,,0,0
CHN,,30,1,"21,435",968,2,68,,5,"1,123","8,449",,55,100,"44,105","165,718",350,"412,657","46,989",,51,5,10,16,21,"4,047",,25,18,"1,215","14,575","18,053",,6,"1,741",0,99,36,618,306,"51,814",22,"2,578","34,749","30,657","1,480","23,910",110,10,8,3,"123,812",0,"8,259",C,"1,750",144,8,546,"20,677",C,"18,701",,,22,803,6,844,0,60,"14,652","210,294",79,184,"1,863",287,"7,333","12,404",980,25,,"89,566","290,122",1,14
CXQ,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,,,0,,0,,,0
CCQ,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,,1,0,,29,,,0
COL,,0,1,C,228,187,47,,0,54,463,,21,20,"1,451",280,"1,048",66,13,235,,15,9,18,3,"1,419",,1,0,C,713,"4,802",,1,54,1,7,,0,,"5,710",15,635,"2,016",554,214,248,,7,0,3,"12,502",0,68,C,7,39,0,C,"5,827",,"1,521",,,563,C,43,39,,159,286,C,0,2,,141,277,"1,499",1,0,,"2,925","29,819",86,0
COM,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,0,0,0,0,,0,,0,,,0
