,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
ARE,0,,29,373,,"2,898",0,80,969,0,3,96,,0,909,34,0,0,2,61,5,192,0,4,0,511,736,3,16,"1,240",1,0,0,7,361,0,,123,639,"1,633",0,82,"2,733",,314,2,"1,959",233,,"1,018",,,282,0,248,8,7,0,C,0,,2,C,15,0,2,C,1,916,697,1,,"7,525",0,1,0
GBR,8,8,"47,578","22,166",144,"1,936","1,435","28,135","36,547",254,121,"58,915",372,"2,286","83,351","1,294",253,120,223,"14,220",716,"21,360",432,133,"19,327","251,764","204,932","1,436","36,346","40,976",175,674,294,212,"352,734","18,990","2,914","65,218","207,553","56,372","2,671","6,443","1,792",69,"1,071",71,"222,095","2,046","2,533",366,208,17,"125,726","2,446","91,598",12,105,507,C,"13,100",209,"4,673","56,061","1,775",760,"78,529","40,682","48,449","67,730",305,875,44,,"1,001,455",105,0
USA,"17,418",369,"197,785","26,935","5,874","7,192","5,133","44,466","391,810","18,552",345,"402,141","25,588","39,704","92,539","1,270","9,915",507,"2,006","1,347","2,400","70,294","7,652",159,"23,518","219,544","211,184",89,"5,692","34,417","2,382","1,522",379,"1,143","548,792","1,871","37,490","99,494","1,138,244","77,142","18,769","32,631","3,630",497,"2,056",110,"497,709","7,534",976,"2,294","28,100",52,"334,714","12,199","176,640",9,"3,379","1,816",876,"11,587",86,"1,954","133,014","1,251","1,494","13,352","41,743","108,057","160,756","2,812",130,,"853,133",,"1,765","4,953"
URY,4,,C,82,21,1,0,4,194,62,0,56,,0,5,,10,7,34,0,0,316,0,0,0,72,400,,1,58,0,,,0,107,0,,104,662,3,0,0,,,0,0,"1,121",,,,,,355,0,,,0,,0,0,,0,,1,0,2,C,0,13,0,0,,96,"1,812",,15
PUQ,0,,0,0,,,0,0,0,0,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,,0,,,0,204,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
VIR,0,,0,0,,,0,0,0,41,0,,,0,7,,0,0,,0,,2,0,,0,1,0,,,0,0,,,0,143,0,10,,821,,0,0,,,3,0,0,18,,,,,0,0,2,,0,,0,0,,40,C,,0,,0,6,,0,0,,22,0,1,0
UZB,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,106,0,,,0,0,0,,,0,13,0,0,,,,0,0,0,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
VUT,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
VAT,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
VEN,1,,C,179,,4,14,13,302,1,0,69,54,1,37,,1,4,205,0,0,583,0,,0,537,873,,32,264,0,,,0,212,0,1,955,337,"1,259",0,22,,1,19,2,"3,839",,,,,,"1,300",0,0,,211,0,C,92,,3,C,1,2,,C,0,412,0,5,,"1,546","7,954",70,
VNM,0,,C,9,,0,0,19,0,,0,14,,0,422,,0,0,0,0,0,41,0,,0,86,55,,,15,0,,,1,9,0,,18,260,2,0,508,,1,0,0,500,31,,98,,,47,0,2,,0,0,C,0,,0,328,,0,,C,2,47,11,0,,"1,826","1,081",0,0
VGB,0,13,C,285,,130,20,450,284,512,0,"2,055",45,1,"4,970",286,2,0,"2,249",26,1,86,0,9,519,"2,459",538,216,16,"2,471",5,24,,45,"1,861","1,093",25,421,"1,986","1,536",4,62,31,1,6,14,"9,437","1,134",,180,,,"1,721",0,153,4,6,0,C,143,,348,"1,158",1,0,698,C,257,,4,0,,"2,873","15,922",1,0
WLF,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
PSE,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,0,0,,0,0,,0,,0,,,0,0,,,0,8,0,,,0,,0,0,,,,0,13,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
ESH,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,,0,,0,0,,0,0,0,0
YEM,0,,0,0,,2,0,0,0,,0,,,0,0,,0,0,,0,,2,0,,0,,0,,,13,0,,,0,0,0,,,0,,0,0,18,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,3,0,0,0
ZMB,0,,C,0,,,0,5,-1,,0,,,0,C,,0,0,0,8,,0,0,,0,36,0,,,5,0,,,0,5,0,,,0,11,0,0,,,2,0,15,,,6,,,0,0,,,0,,0,0,,0,,,0,112,0,1,0,0,0,,188,46,0,0
ZWE,0,,C,0,,,0,0,0,,0,,,0,0,,0,0,0,72,,1,0,,0,34,0,,0,13,0,,,0,9,0,,,0,,0,0,,,,0,16,,,53,,,0,0,,,0,,0,0,,0,,,0,74,0,0,18,0,0,,11,102,0,0
