,ARG,ABW,AUS,AUT,BHS,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GRC,GGY,HUN,ISL,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
GRC,0,0,189,"6,398",,,"12,038",256,,13,242,,7,145,4,,,170,599,681,,3,944,"25,976","24,678",,607,,1,,"5,289",31,,"10,773","4,424",102,15,19,0,,"10,000",0,100,,,"8,131",5,8,"1,508",,,1,C,502,,0,91,3,56,"2,344",851,"1,065",0,,,"17,365","5,935",0,,0
GRL,0,0,,0,,,0,0,,,0,,0,,,,,0,,45,,,,0,0,0,,,,,,0,,0,0,,,0,,,0,,,,,6,,,,,,,0,,,0,,,0,0,0,0,0,,,0,,0,,0
GRD,0,0,,0,4,,0,0,0,,0,5,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,1,,,,,0,1,,,,,,0,,,0,,,0,0,0,1,0,,,C,6,0,,0
GLP,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,,,0,,,0,0,0,,0,,,0,,0,,0
GUM,0,0,,0,,,0,0,,,0,,0,59,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,,,0,,,0,0,0,,0,,,0,,0,,0
GTM,0,0,,4,130,94,0,0,0,,1,0,0,,,,3,0,,0,,,,0,6,0,,,,,5,0,,3,1,,,0,,,25,,,,,1,,,,,102,,0,,,0,,,0,0,0,0,0,,,48,109,0,,0
GGY,0,0,,549,,,194,148,6,,50,8,8,3,65,,,0,,20,,,111,"1,956","5,302",136,,4,0,,213,203,,"1,062",0,132,,0,84,4,"3,308",,,8,,758,123,,,,,,C,123,,0,,1,667,45,14,"5,061",0,,,"2,556","5,350",1,,0
GUF,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,,,0,,,0,0,0,,0,,,0,0,0,,0
GIN,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,0,,0,,,0,0,0,9,0,,,0,,0,,0
GNB,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,0,,0,,,0,0,0,0,0,,,0,,0,,0
GUY,0,0,,0,,27,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,9,,,0,,,13,,,,,0,,,,,,,0,,,0,,,0,0,0,0,0,,,18,5,0,,0
HTI,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,,,0,,,0,0,0,0,0,,,43,0,0,,0
HND,0,0,,0,1,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,6,,,,,0,,,,,42,,0,,,0,,,0,0,0,0,0,,,0,50,0,,0
HUN,0,0,10,"2,756",,,412,0,0,19,101,4,3,37,0,,,13,258,421,,24,14,878,"7,262",39,118,,0,,702,1,,279,426,25,,0,,,"6,650",,7,,,942,5,0,85,,,4,61,0,,0,9,359,0,250,111,266,0,,,"2,638","3,091",0,,0
ISL,0,0,,466,,,214,85,,,8,23,0,147,,,,4,123,79,,1,416,"1,333","2,529",6,28,0,,,688,0,,445,314,,,0,,,"1,436",,,,,116,8,,236,,,,0,132,,0,,,0,217,402,94,0,,,"1,210",143,0,,0
IND,0,0,404,38,19,,110,2,0,,618,19,0,134,0,,,0,,183,2,,59,709,141,3,74,,0,0,413,7,,265,260,123,,60,,0,"3,878",1,,"14,530",,676,1,,4,,,,C,0,,0,"1,680",,5,"1,519",18,103,2,1,,"4,024","18,699",0,,0
IDN,0,0,32,27,,,14,7,,,175,146,0,698,0,,,0,,78,,,10,213,88,0,172,,0,,204,1,,99,141,46,,21,,0,"1,620",8,,"5,328",,346,11,0,2,,,4,0,0,,0,"2,129",,0,74,32,106,106,,,"1,740","5,072",0,,0
