,ALB,ARG,ABW,AUS,AUT,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN,PSE
ESP,,67,3,"3,733","13,826",174,0,"28,008",572,0,"2,409",233,"7,024","3,648",422,576,128,"1,140",18,4,13,178,129,"5,426",,39,"4,807","180,742","143,528",38,"7,124","1,830",0,33,13,1,3,"56,030",10,222,"80,237","32,679",597,68,"1,478",3,284,22,31,"92,975",0,8,258,32,548,0,"39,924",,"16,412",,,191,360,3,122,"17,776",5,3,"2,590","5,498","1,761","1,153",86,,"5,882","10,432",33,18,,"52,919","112,411",21,,0
LKA,,0,0,C,44,2,0,2,9,,0,0,77,101,0,87,,27,0,,0,0,0,377,,0,47,48,554,,,4,0,0,,0,0,501,0,,173,88,,0,4,,2,1,0,"2,875",0,7,C,29,,,485,,75,,,,0,C,11,0,,0,141,735,0,0,2,C,21,91,1,0,,985,"3,868",,,
KNA,,0,,0,0,,0,,0,,1,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,4,0,,0,1,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,0,0,,,
LCA,,0,0,0,0,,0,,0,,0,0,0,3,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
VCT,,0,,0,1,,0,,0,,10,0,0,,1,0,,0,0,,0,0,0,0,,0,,1,0,,,0,0,10,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,C,0,0,,C,0,130,,0,,0,0,,,
SDN,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,2,0,,,0,,,3,0,0,,0,,0,0,,0,0,,0,0,20,,4,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,C,0,0,,C,0,0,,0,,0,0,,,
SUR,,0,,0,1,,0,,3,,0,0,0,,0,0,,0,0,,1,0,0,26,,0,1,1,21,,,2,0,0,,0,,23,0,,2,0,,0,1,,,0,0,109,0,,0,0,,,14,,0,,,,0,,0,0,,,0,,0,2,,C,0,8,,0,,0,257,0,,
SWZ,,0,,0,0,,0,,0,,0,0,0,44,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,1,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,27,C,0,0,1,0,,0,0,,,
SWE,1,0,3,"5,905","4,012",58,0,"4,355","3,908",120,12,54,"9,683","6,912",79,"1,972",72,"1,380",269,25,20,212,423,"22,239",,369,"33,401","33,181","54,109",59,101,"4,871",0,22,84,0,0,"40,705",557,231,"5,462","33,499","6,595",429,"1,312",0,313,9,152,"76,138",0,28,421,16,15,,"20,619",C,"39,157",,,28,38,12,"1,153",566,28,20,"1,769",C,343,361,71,"2,626",,"19,091",9,1,,"42,978","134,131",265,,
CHE,C,1,9,"10,717","4,678",15,0,"4,963","2,366",87,"2,078",10,"26,546","9,396","2,346","2,089",720,"4,345",96,17,32,82,109,"5,902",3,20,C,"30,016","48,592",545,161,"6,697",0,55,49,11,8,"26,494","1,062",606,"8,578","28,132","6,492",511,"4,548",97,11,125,9,"81,411",4,76,114,878,60,6,"24,265",C,"31,411",,,98,262,93,113,311,8,189,"5,077",C,12,137,458,"6,364","13,875",,191,7,,"82,263","421,007",5,269,
SYR,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,1,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,1,79,,1,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,23,,0,0,,C,0,0,,0,,0,0,,,
TWN,,0,1,"3,538",142,5,0,309,786,,0,0,"8,137","1,930",4,"6,346",9,596,0,,14,0,3,"1,784",,0,441,"1,116","2,981",1,,241,0,0,2,7,7,"12,574",10,,231,"7,798",189,0,"1,425",,0,0,0,"22,181",0,577,0,35,3,0,"9,209",45,"9,287",,,,0,C,0,25,,0,"2,220","17,029",0,30,24,C,"3,528","2,868",41,0,,"29,075","130,336",,,
TJK,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,40,0,,0,0,,,1,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
TZA,,0,,0,0,,0,,7,,0,0,0,49,0,8,,0,0,,0,0,0,9,,0,4,1,15,,,0,0,0,,0,,33,0,,6,1,36,0,0,,,0,0,300,0,0,0,35,,,1,,2,,,,0,,0,0,,,0,,0,0,66,C,0,16,,0,,53,375,,,
THA,,0,0,"1,663",151,4,0,141,371,,1,0,"2,368","1,328",2,"3,254",27,485,0,,47,3,0,"1,073",,0,C,389,"1,718",6,,126,0,0,0,20,27,"4,363",105,,121,"7,441",139,0,415,,0,0,0,"10,661",0,867,0,452,,,"3,699",C,"3,220",,,0,2,105,0,4,,,943,"8,560",0,3,15,C,765,942,,0,,"8,792","37,323",,,
TLS,,0,,C,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,2,0,,0,0,,,0,,0,,,,0,,0,4,,,0,C,0,0,,C,0,4,,0,,0,,,,
