,ARG,ABW,AUS,AUT,BHS,BHR,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GRC,GGY,HUN,ISL,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,LBN,LUX,MYS,MLT,MUS,NLD,ANT,NZL,NOR,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
MYT,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,,0,,,0,,0,,
MEX,32,0,81,379,702,31,254,245,2,,"2,360","2,206",198,0,0,,4,85,3,319,1,0,,"1,161","2,378",8,319,0,0,,575,4,,"4,346","2,693",65,,51,1,"3,251",15,9,2,"1,138",827,0,50,152,2,0,129,,0,115,0,1,359,83,"2,492",0,,,"9,532","48,904",75,,2
FSM,0,0,0,0,,,0,0,,,0,,0,0,,,,0,1,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
MDA,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,1,131,,,,,,0,0,,,0,29,0,,
MCO,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,43,,24,0,,,0,,9,,,,0,,,0,,,0,,,0,,,,,,,0,,,6,2,0,,
MNG,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
MNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
MSR,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,0,,0,5,,0,,,0,,,,,,,0,,,0,,0,,
MAR,0,0,0,5,,,12,9,,,0,,0,0,,,,0,0,0,,0,,635,30,,0,0,,,0,0,,8,1,,,0,,123,,,,25,,,0,,,0,5,,0,,,,46,,5,0,,,93,369,0,,
MOZ,0,0,0,0,,,0,0,0,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,8,,0,,,,,0,0,0,,,0,3,0,,
MMR,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,5,,,,,0,0,,,0,,0,,
NAM,0,0,0,0,,,7,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,8,,,0,,4,,,,0,,,0,,,0,,,0,,,5,,,0,0,,,1,1,0,,
NRU,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
NPL,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
NLD,9,6,"3,643","8,297",78,198,"23,466","1,120",42,7,"6,142",271,53,"3,055",54,26,,58,403,"3,316",12,10,"4,885","84,493","86,571",395,"1,874",111,16,100,"13,897",310,93,"53,154","46,139","5,121",46,14,9,"54,174",19,78,5,,364,83,"3,128",12,0,228,"3,564",,46,"2,281",39,204,"14,140","3,533","37,787",0,77,,"72,359","149,082",15,,
ANT,0,10,0,833,,1,635,348,3,,300,53,0,0,1,1,,0,10,43,,0,,"15,623","1,858",,215,16,,,189,2,2,"5,736","13,702",32,,0,1,"2,146",,7,,"1,615",,,8,0,,5,213,,0,,0,,73,40,"2,309",0,,,"2,279","16,046",0,,1
